,Xf,Xa,Xi,phi,Tad,Flammable
893,0.22,0.38,0.4,1.3600342826750826,1693.7996718777006,1.0
894,0.22,0.37,0.41,1.393145875835897,1664.5576527750866,1.0
895,0.22,0.36,0.42,1.4277826163548148,1635.3200001049602,1.0
896,0.22,0.35,0.43,1.4640523625765958,1606.085312739456,1.0
897,0.22,0.34,0.44,1.5020733886978237,1576.85161236444,1.0
898,0.22,0.33,0.45,1.5419756731927086,1547.61653084616,1.0
899,0.22,0.32,0.46,1.5839023833421217,1518.3774172192666,1.0
900,0.22,0.31,0.47,1.6280115915944395,1489.1314002117597,1.0
901,0.22,0.3,0.48,1.674478267125022,1459.8754077194212,1.0
902,0.22,0.29,0.49,1.7234965954868429,1430.606201376589,1.0
903,0.22,0.28,0.5,1.77528269119087,1401.3203632690547,1.0
904,0.22,0.27,0.51,1.830077783124425,1372.014308371993,1.0
905,0.22,0.26,0.52,1.8881519718434783,1342.684274830211,1.0
906,0.22,0.25,0.53,1.9498086822124674,1313.3263156465925,1.0
907,0.22,0.24,0.54,2.015389966302576,1283.9362910732846,1.0
908,0.22,0.23,0.55,2.0852828521975155,1254.5098569929703,0.0
909,0.22,0.22,0.56,2.159926987555981,1225.0424504363386,0.0
910,0.22,0.1,0.68,3.724079149917514,883.408290669155,0.0
911,0.22,0.0,0.78,8.891806062473679,842.7564226484589,0.0
912,0.23,0.77,0.0,0.7109090909090909,2147.0645643903595,1.0
913,0.23,0.76,0.01,0.7207706304576067,2146.688847911841,1.0
914,0.23,0.75,0.02,0.7308717437696003,2146.2719265771743,1.0
915,0.23,0.74,0.03,0.7412212684110794,2145.809727917528,1.0
916,0.23,0.73,0.04,0.7518284820346188,2145.297563971878,1.0
917,0.23,0.72,0.05,0.7627031301185769,2144.7300110086,1.0
918,0.23,0.71,0.06,0.7738554558312231,2144.1007520452895,1.0
919,0.23,0.7,0.07,0.7852962322121402,2143.402380247284,1.0
920,0.23,0.69,0.08,0.7970367968834197,2142.6261464124946,1.0
921,0.23,0.68,0.09,0.8090890895257475,2141.761631467504,1.0
922,0.23,0.67,0.1,0.8214656923797748,2140.796318889256,1.0
923,0.23,0.66,0.11,0.8341798740615828,2139.715023324319,1.0
924,0.23,0.65,0.12,0.8472456370129912,2138.499124380945,1.0
925,0.23,0.64,0.13,0.860677768943445,2137.1255170921313,1.0
926,0.23,0.63,0.14,0.8744918986607793,2135.565153032876,1.0
927,0.23,0.62,0.15,0.8887045567340291,2133.7809757239843,1.0
928,0.23,0.61,0.16,0.903333241483323,2131.7249440053056,1.0
929,0.23,0.6,0.17,0.9183964908507272,2129.3336496597653,1.0
930,0.23,0.59,0.18,0.9339139607727227,2126.5217514963015,1.0
931,0.23,0.58,0.19,0.9499065107509931,2123.1719365032313,1.0
932,0.23,0.57,0.2,0.9663962974048526,2119.119393486538,1.0
933,0.23,0.56,0.21,0.9834068768876042,2114.127804113044,1.0
934,0.23,0.55,0.22,1.0009633171623662,2107.853473186487,1.0
935,0.23,0.54,0.23,1.0190923212627638,2099.798058957639,1.0
936,0.23,0.53,0.24,1.0378223628131464,2089.2708305276997,1.0
937,0.23,0.52,0.25,1.0571838352548517,2075.442231096275,1.0
938,0.23,0.51,0.26,1.0772092164234743,2057.6420041129277,1.0
939,0.23,0.5,0.27,1.0979332503516144,2035.867662775321,1.0
940,0.23,0.49,0.28,1.1193931484378712,2010.9360355385786,1.0
941,0.23,0.48,0.29,1.1416288124323342,1983.9665733848826,1.0
942,0.23,0.47,0.3,1.1646830820497076,1955.8495011703692,1.0
943,0.23,0.46,0.31,1.1886020104428905,1927.1283993311154,1.0
944,0.23,0.45,0.32,1.2134351712641207,1898.0982418250626,1.0
945,0.23,0.44,0.33,1.2392360016217159,1868.912735106075,1.0
946,0.23,0.43,0.34,1.2660621859252703,1839.6515186949255,1.0
947,0.23,0.42,0.35,1.2939760864219518,1810.3560493863163,1.0
948,0.23,0.41,0.36,1.3230452271871087,1781.047922536167,1.0
949,0.23,0.4,0.37,1.3533428394757017,1751.7381756870886,1.0
950,0.23,0.39,0.38,1.3849484777063992,1722.432089713027,1.0
951,0.23,0.38,0.39,1.417948716986709,1693.1317125409278,1.0
952,0.23,0.37,0.4,1.4524379450562486,1663.8372186066297,1.0
953,0.23,0.36,0.41,1.4885192639030032,1634.5476588068123,1.0
954,0.23,0.35,0.42,1.5263055191907484,1605.2613748706706,1.0
955,0.23,0.34,0.43,1.565920479147065,1575.9762423341688,1.0
956,0.23,0.33,0.44,1.607500188856299,1546.6898049575605,1.0
957,0.23,0.32,0.45,1.651194531179651,1517.3993561250136,1.0
958,0.23,0.31,0.46,1.6971690320418245,1488.101984298334,1.0
959,0.23,0.3,0.47,1.7456069559123122,1458.7945850219294,1.0
960,0.23,0.29,0.48,1.7967117474021301,1429.4738931297902,1.0
961,0.23,0.28,0.49,1.850709887560854,1400.136464717936,1.0
962,0.23,0.27,0.5,1.9078542494432653,1370.7786891132007,1.0
963,0.23,0.26,0.51,1.9684280578162543,1341.396778477021,1.0
964,0.23,0.25,0.52,2.0327495838300833,1311.9867582990053,1.0
965,0.23,0.24,0.53,2.1011777388881483,1282.5444599144707,1.0
966,0.23,0.23,0.54,2.174118775274791,1253.0655086252195,0.0
967,0.23,0.22,0.55,2.252034357722574,1223.5453085644283,0.0
968,0.23,0.1,0.67,3.8885703179896343,886.9473185265791,0.0
969,0.23,0.0,0.77,9.347950262431281,847.4372153727357,0.0
970,0.24,0.76,0.0,0.7515789473684208,2200.5516096245888,1.0
971,0.24,0.75,0.01,0.762066405180076,2199.6348386567356,1.0
972,0.24,0.74,0.02,0.7728120775596707,2198.652064241809,1.0
973,0.24,0.73,0.03,0.7838256197263812,2197.5961568954945,1.0
974,0.24,0.72,0.04,0.795117174348589,2196.458836763434,1.0
975,0.24,0.71,0.05,0.8066974026985329,2195.230420109576,1.0
976,0.24,0.7,0.06,0.8185775182273478,2193.8995070601463,1.0
977,0.24,0.69,0.07,0.8307693227827494,2192.4525681918853,1.0
978,0.24,0.68,0.08,0.8432852457152481,2190.873413029575,1.0
979,0.24,0.67,0.09,0.8561383861452955,2189.1424874799,1.0
980,0.24,0.66,0.1,0.8693425586934993,2187.235937321467,1.0
981,0.24,0.65,0.11,0.8829123430095294,2185.124338534607,1.0
982,0.24,0.64,0.12,0.8968631374730127,2182.7709619644993,1.0
983,0.24,0.63,0.13,0.9112112174822531,2180.12935227904,1.0
984,0.24,0.62,0.14,0.925973798794656,2177.1399142440887,1.0
985,0.24,0.61,0.15,0.941169106437125,2173.7250210456937,1.0
986,0.24,0.6,0.16,0.9568164497663778,2169.781936223916,1.0
987,0.24,0.59,0.17,0.9729363043291702,2165.1725068096366,1.0
988,0.24,0.58,0.18,0.9895504012521423,2159.708265724614,1.0
989,0.24,0.57,0.19,1.0066818249818759,2153.129631295538,1.0
990,0.24,0.56,0.2,1.0243551202995915,2145.0797042568033,1.0
991,0.24,0.55,0.21,1.0425964096537297,2135.080639820999,1.0
992,0.24,0.54,0.22,1.0614335219899904,2122.5412311491573,1.0
993,0.24,0.53,0.23,1.0808961344150516,2106.8587758925164,1.0
994,0.24,0.52,0.24,1.1010159282106986,2087.670686405721,1.0
995,0.24,0.51,0.25,1.1218267609234296,2065.1380629276164,1.0
996,0.24,0.5,0.26,1.143364856495786,2039.943365428759,1.0
997,0.24,0.49,0.27,1.1656690156853644,2012.947198355461,1.0
998,0.24,0.48,0.28,1.1887808493427985,1984.8636645038905,1.0
999,0.24,0.47,0.29,1.2127450374993243,1956.1659530691684,1.0
1000,0.24,0.46,0.3,1.2376096176579605,1927.1335077038298,1.0
1001,0.24,0.45,0.31,1.2634263062022186,1897.9231015425144,1.0
1002,0.24,0.44,0.32,1.2902508574474212,1868.6210913661191,1.0
1003,0.24,0.43,0.33,1.3181434655804074,1839.2748267807476,1.0
1004,0.24,0.42,0.34,1.3471692155858415,1809.9101659960984,1.0
1005,0.24,0.41,0.35,1.3773985902688488,1780.5410302383677,1.0
1006,0.24,0.4,0.36,1.408908041687981,1751.1745982704117,1.0
1007,0.24,0.39,0.37,1.4417806367511716,1721.8141646445097,1.0
1008,0.24,0.38,0.38,1.4761067884523718,1692.4607306364976,1.0
1009,0.24,0.37,0.39,1.5119850863024682,1663.1139047495938,1.0
1010,0.24,0.36,0.4,1.5495232420162826,1633.7724240902241,1.0
1011,0.24,0.35,0.41,1.588839169560118,1604.4344504142796,1.0
1012,0.24,0.34,0.42,1.6300622223711776,1575.097751726287,1.0
1013,0.24,0.33,0.43,1.673334615096291,1545.7598031396506,1.0
1014,0.24,0.32,0.44,1.7188130627741693,1516.417855160755,1.0
1015,0.24,0.31,0.45,1.7666706772749767,1487.068953589448,1.0
1016,0.24,0.3,0.46,1.8170991693661414,1457.7099714544418,1.0
1017,0.24,0.29,0.47,1.8703114154535152,1428.337615674241,1.0
1018,0.24,0.28,0.48,1.9265444614556446,1398.9484165538859,1.0
1019,0.24,0.27,0.49,1.9860630532029373,1369.5387389670907,1.0
1020,0.24,0.26,0.5,2.0491638042739186,1340.1047680445392,1.0
1021,0.24,0.25,0.51,2.11618013971039,1310.6425018393577,1.0
1022,0.24,0.24,0.52,2.1874881895165776,1281.1477428714313,1.0
1023,0.24,0.23,0.53,2.2635138518682205,1251.6160852886471,0.0
1024,0.24,0.22,0.54,2.344741306148341,1222.0429001040773,0.0
1025,0.24,0.1,0.66,4.054877970807787,890.4037465318465,0.0
1026,0.24,0.0,0.76,9.816098257124608,851.9477154332385,0.0
1027,0.25,0.75,0.0,0.7933333333333333,2247.537003870162,1.0
1028,0.25,0.74,0.01,0.80447697318593,2245.970826504944,1.0
1029,0.25,0.73,0.02,0.8158987332210623,2244.3047844181656,1.0
1030,0.25,0.72,0.03,0.8276091568903142,2242.527187371283,1.0
1031,0.25,0.71,0.04,0.839619327397946,2240.624324910856,1.0
1032,0.25,0.7,0.05,0.8519409026882407,2238.5799980825527,1.0
1033,0.25,0.69,0.06,0.8645861531900836,2236.374917421556,1.0
1034,0.25,0.68,0.07,0.8775680025756727,2233.98591622186,1.0
1035,0.25,0.67,0.08,0.8909000718179525,2231.384913084719,1.0
1036,0.25,0.66,0.09,0.9045967268624973,2228.537527998806,1.0
1037,0.25,0.65,0.1,0.9186731302645964,2225.401215073062,1.0
1038,0.25,0.64,0.11,0.9331452971817299,2221.922715106174,1.0
1039,0.25,0.63,0.12,0.9480301561561258,2218.0345453217687,1.0
1040,0.25,0.62,0.13,0.9633456151724155,2213.650127394822,1.0
1041,0.25,0.61,0.14,0.9791106335323044,2208.657007114026,1.0
1042,0.25,0.6,0.15,0.9953453001528141,2202.9074954999487,1.0
1043,0.25,0.59,0.16,1.0120709189679558,2196.206109168234,1.0
1044,0.25,0.58,0.17,1.0293101021972524,2188.2939227721467,1.0
1045,0.25,0.57,0.18,1.0470868723397224,2178.832635021521,1.0
1046,0.25,0.56,0.19,1.0654267738607328,2167.398363355768,1.0
1047,0.25,0.55,0.2,1.0843569956637076,2153.509477252589,1.0
1048,0.25,0.54,0.21,1.103906505581541,2136.726297473447,1.0
1049,0.25,0.53,0.22,1.1241061982868736,2116.8337686952677,1.0
1050,0.25,0.52,0.23,1.1449890582096351,2094.0091167812134,1.0
1051,0.25,0.51,0.24,1.1665903392688683,2068.7992853259907,1.0
1052,0.25,0.5,0.25,1.1889477634788523,2041.8955274396635,1.0
1053,0.25,0.49,0.26,1.212101740783111,2013.9063713789271,1.0
1054,0.25,0.48,0.27,1.236095612811411,1985.2668613783328,1.0
1055,0.25,0.47,0.28,1.260975923653115,1956.2534412368718,1.0
1056,0.25,0.46,0.29,1.2867927212059944,1927.03132170303,1.0
1057,0.25,0.45,0.3,1.3135998932057398,1897.696434556271,1.0
1058,0.25,0.44,0.31,1.3414555426836479,1868.303778006741,1.0
1059,0.25,0.43,0.32,1.3704224083575396,1838.8846383610273,1.0
1060,0.25,0.42,0.33,1.400568336357226,1809.4565892253977,1.0
1061,0.25,0.41,0.34,1.4319668107497683,1780.0292212543463,1.0
1062,0.25,0.4,0.35,1.4646975515967655,1750.607412466185,1.0
1063,0.25,0.39,0.36,1.498847190790146,1721.193212644148,1.0
1064,0.25,0.38,0.37,1.5345100377290066,1691.7869368825945,1.0
1065,0.25,0.37,0.38,1.5717889490865575,1662.3878064521152,1.0
